ID,Time,Steps,Total Reward,Episode Length,coins,flag_get,life,score,stage,status,time,world,x_pos
big_mess,51.89980101585388,1818,1021.0999999999908,639,3,False,256,600,1,small,391,1,276
big_mess,54.08467507362366,1894,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,56.330097913742065,1971,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,58.50662302970886,2047,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,60.680095911026,2125,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,62.81840801239014,2197,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,64.9527108669281,2274,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,67.12692904472351,2345,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,69.27041411399841,2423,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,71.56445097923279,2499,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,73.7786591053009,2570,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,76.09764504432678,2655,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,78.2309079170227,2724,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,80.48913884162903,2806,138.50000000000006,25,0,False,256,0,1,small,395,1,312
big_mess,82.75956702232361,2880,145.50000000000006,26,0,False,256,0,1,small,395,1,312
big_mess,85.27348709106445,2971,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,87.71248006820679,3052,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,90.19576597213745,3136,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,92.62091588973999,3220,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,95.12538290023804,3304,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,97.521311044693,3385,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,99.98301219940186,3474,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,102.39843106269836,3554,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,104.80431413650513,3644,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,107.29029512405396,3720,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,109.76882719993591,3818,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,112.29666709899902,3890,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,114.90895199775696,3979,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,117.39125084877014,4059,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,119.87274694442749,4150,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,122.3917019367218,4229,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,124.9858090877533,4317,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,127.50643706321716,4392,159.40000000000006,28,0,False,256,0,1,small,394,1,316
big_mess,3.2353310585021973,130,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,5.82079005241394,209,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,129.49080514907837,4476,-90.0000000000009,1505,0,False,256,0,1,small,0,1,40
big_mess,132.08542394638062,4565,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,134.8567249774933,4659,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,137.44683122634888,4749,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,140.39215898513794,4848,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,143.04793286323547,4933,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,145.57351088523865,5028,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,148.14077496528625,5108,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,150.77852702140808,5200,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,153.2203390598297,5286,173.30000000000007,29,0,False,256,0,1,small,393,1,296
big_mess,155.12201499938965,5345,105.50000000000006,21,0,False,256,0,1,small,395,1,315
big_mess,156.92519807815552,5416,105.50000000000006,21,0,False,256,0,1,small,395,1,315
big_mess,158.66144323349,5473,105.50000000000006,21,0,False,256,0,1,small,395,1,315
big_mess,160.52989292144775,5535,105.50000000000006,21,0,False,256,0,1,small,395,1,315
big_mess,162.4499101638794,5601,105.50000000000006,21,0,False,256,0,1,small,395,1,315
big_mess,164.21405506134033,5666,105.50000000000006,21,0,False,256,0,1,small,395,1,315
big_mess,166.00780701637268,5723,105.50000000000006,21,0,False,256,0,1,small,395,1,315
big_mess,167.8361201286316,5792,105.50000000000006,21,0,False,256,0,1,small,395,1,315
big_mess,169.6154601573944,5857,105.50000000000006,21,0,False,256,0,1,small,395,1,315
big_mess,171.39341282844543,5907,105.50000000000006,21,0,False,256,0,1,small,395,1,315
big_mess,173.99810194969177,6004,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,176.58246994018555,6089,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,179.25445294380188,6179,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,181.83057522773743,6275,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,184.46263718605042,6360,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,187.15893602371216,6451,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,189.78307795524597,6546,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,192.43134117126465,6634,183.30000000000007,31,0,False,256,0,1,small,393,1,296
big_mess,53.918174266815186,1847,739.7999999999904,648,0,False,256,500,1,small,388,1,510
big_mess,57.3713960647583,1966,258.2,40,0,False,256,0,1,small,392,1,512
big_mess,60.986786127090454,2092,258.2,40,0,False,256,0,1,small,392,1,512
big_mess,64.80029106140137,2220,258.2,40,0,False,256,0,1,small,392,1,512
big_mess,68.90460324287415,2351,258.2,40,0,False,256,0,1,small,392,1,512
big_mess,72.04830527305603,2443,197.20000000000007,33,0,False,256,0,1,small,392,1,512
big_mess,73.76083612442017,2491,75.70000000000002,18,0,False,256,0,1,small,397,1,176
big_mess,75.49677515029907,2547,75.70000000000002,18,0,False,256,0,1,small,397,1,176
big_mess,77.54306817054749,2607,75.70000000000002,18,0,False,256,0,1,small,397,1,176
big_mess,79.12082624435425,2655,75.70000000000002,18,0,False,256,0,1,small,397,1,176
big_mess,81.0353410243988,2713,75.70000000000002,18,0,False,256,0,1,small,397,1,176
big_mess,82.97629022598267,2761,75.70000000000002,18,0,False,256,0,1,small,397,1,176
big_mess,84.82587599754333,2816,75.70000000000002,18,0,False,256,0,1,small,397,1,176
big_mess,86.40606117248535,2868,75.70000000000002,18,0,False,256,0,1,small,397,1,176
big_mess,88.13622307777405,2923,75.70000000000002,18,0,False,256,0,1,small,397,1,176
big_mess,89.88182711601257,2981,75.70000000000002,18,0,False,256,0,1,small,397,1,176
